Item Name, Quantity Sold, Price per Unit, Fun Level (out of 10), Date Manufactured
"Lemonade Stand",150,5.99,9.3,2019-02-01
"Lucky Charm Bracelet", 50, 8.99, 9.5, 2022-03-12
"Ornate Necklace",250,9.99,9.1,2021-04-20
"Yoga Mat",80,12.99,8.6,2020-08-15
"Dapper Fedora",200,14.99,8.5,2024-07-25
"Sparkling Sneakers", 120, 29.99, 8.7, 2023-07-05
"Banana Hammock",75,7.99,9.6,2022-09-20
"Antique Compass",30,19.99,8.1,2020-05-01
"Ninja Nunchucks",200,3.99,9.8,2022-02-15
"Knight's Helmet",120,11.99,8.3,2024-06-10
"Intergalactic Goggles", 80, 15.99, 9.2, 2022-05-18
"Neon Glowstick Bracelet", 150, 2.99, 8.8, 2022-09-05
"Giggling Giraffe Plush", 200, 12.99, 9.5, 2022-11-12
"Glowing Rainbow Wand", 100, 6.99, 8.6, 2022-07-26
"Rainbow Slinky", 50, 9.99, 9.1, 2022-06-02
"Overjoyed Umbrella", 120, 11.99, 8.7, 2022-08-15
"Unicorn Plush Pillow", 90, 19.99, 9.4, 2022-07-03
"Playful Penguin Slippers", 180, 8.99, 8.9, 2022-08-21
